DETAIL_LAB_PROCEDURE_ID,n_valid_patients,abnormal_rate_patients,abnormal_rate_patients_pos,abnormal_rate_patients_neg,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,n_patients_with_lab,n_encounters_with_lab
881,699.0,0.8512160228898427,0.0,0.8524355300859598,-0.8524355300859598,0.0,5.584373638038432,1262.0,1453.0
6834,179.0,0.106145251396648,1.0,0.1011235955056179,0.8988764044943821,9.888888888888896,4.667826382822661,179.0,181.0
17730,103.0,0.9514563106796116,0.0,0.9607843137254902,-0.9607843137254902,0.0,4.462257922704456,103.0,108.0
6610,555.0,0.2972972972972973,1.0,0.294755877034358,0.705244122965642,3.3926380368098163,4.457684692147788,613.0,624.0
6181,264.0,0.2121212121212121,1.0,0.2091254752851711,0.7908745247148289,4.781818181818182,4.412866174164008,264.0,264.0
6821,113.0,0.1061946902654867,1.0,0.0982142857142857,0.9017857142857143,10.181818181818183,4.271036100784322,195.0,216.0
8131,1514.0,0.1162483487450462,0.6923076923076923,0.1112591605596269,0.5810485317480654,6.222478120681714,4.255117593401478,1712.0,1815.0
1038,694.0,0.3544668587896253,1.0,0.3535353535353535,0.6464646464646465,2.828571428571429,4.230407657738856,699.0,722.0
10596,160.0,0.19375,1.0,0.1886792452830188,0.8113207547169812,5.300000000000002,4.122648824421357,160.0,166.0
7709,40373.0,0.3145171277834196,0.6671207992733879,0.2941762070681931,0.37294459220519477,2.267759197530011,3.9554284502524606,40381.0,50076.0
745,520.0,0.4173076923076923,1.0,0.413926499032882,0.5860735009671181,2.41588785046729,3.666329328145591,705.0,720.0
1269,235.0,0.3404255319148936,1.0,0.334763948497854,0.665236051502146,2.9871794871794877,3.6347378960470804,235.0,239.0
8930,1370.0,0.4941605839416058,0.0,0.4945215485756026,-0.4945215485756026,0.0,3.5720753652766155,2719.0,2777.0
6486,106.0,0.2452830188679245,1.0,0.238095238095238,0.761904761904762,4.200000000000002,3.5602505405424045,106.0,106.0
7923,2327.0,0.5410399656209712,1.0,0.5408426483233018,0.45915735167669824,1.8489666136724963,3.5597389578044796,2327.0,2620.0
6269,329.0,0.39209726443769,1.0,0.3902439024390244,0.6097560975609756,2.5625,3.5360321063783693,970.0,984.0
856,920.0,0.5793478260869566,0.0714285714285714,0.58719646799117,-0.5157678965625986,0.12164339419978512,3.5203531659714775,2118.0,3118.0
1757,326.0,0.0644171779141104,0.6666666666666666,0.0588235294117647,0.6078431372549019,11.333333333333334,3.5193875548591147,326.0,330.0
2147,114.0,0.2807017543859649,1.0,0.2743362831858407,0.7256637168141593,3.645161290322581,3.4432250842989958,114.0,115.0
1154,559.0,0.3202146690518783,0.8571428571428571,0.3134057971014493,0.5437370600414078,2.7349298100743185,3.4407337429127938,599.0,628.0
1167,2634.0,0.3151100987091875,0.74,0.3068885448916408,0.4331114551083592,2.4112988650693574,3.4114623451955497,2659.0,2814.0
1907,154.0,0.6428571428571429,0.0,0.6470588235294118,-0.6470588235294118,0.0,3.263392722712454,154.0,172.0
7806,5796.0,0.4925810904071773,0.860655737704918,0.4846669016566796,0.3759888360482384,1.7757675111773472,3.2579792921119806,7445.0,10110.0
3689,427.0,0.1334894613583138,0.6666666666666666,0.1297169811320754,0.5369496855345912,5.139393939393942,3.253444294482993,427.0,432.0
7014,200.0,0.39,1.0,0.3869346733668342,0.6130653266331658,2.5844155844155843,3.2512723556945087,412.0,417.0
6907,115.0,0.3304347826086956,1.0,0.3185840707964602,0.6814159292035398,3.138888888888889,3.2391720771255756,115.0,115.0
619,42831.0,0.0996941467628586,0.3930905695611578,0.092169540229885,0.3009210293312728,4.264864168582479,3.209335045092525,50081.0,51349.0
1767,380.0,0.5368421052631579,0.0,0.5396825396825397,-0.5396825396825397,0.0,3.207225059592188,391.0,395.0
6974,634.0,0.5694006309148265,0.0833333333333333,0.5787781350482315,-0.4954448017148982,0.14398148148148143,3.1974149579186997,708.0,711.0
7094,942.0,0.3439490445859872,0.8,0.3415154749199573,0.4584845250800427,2.3425000000000002,3.1401909018349343,1083.0,1084.0
2170,192.0,0.578125,0.0,0.5935828877005348,-0.5935828877005348,0.0,3.123842839403435,216.0,219.0
6494,106.0,0.3396226415094339,1.0,0.3333333333333333,0.6666666666666667,3.0,3.1152192229746043,133.0,136.0
1884,222.0,0.5675675675675675,0.0,0.5701357466063348,-0.5701357466063348,0.0,3.082821914950113,235.0,235.0
6453,465.0,0.6150537634408603,0.125,0.6236323851203501,-0.49863238512035013,0.20043859649122805,3.0636899373662616,466.0,469.0
879,404.0,0.4975247524752475,1.0,0.4925,0.5075000000000001,2.030456852791878,3.0469726865565687,468.0,473.0
1766,374.0,0.5106951871657754,0.0,0.5120643431635389,-0.5120643431635389,0.0,3.034967482467422,387.0,391.0
2565,147.0,0.4013605442176871,1.0,0.3972602739726027,0.6027397260273972,2.5172413793103448,3.012018356789329,185.0,190.0
1888,224.0,0.5535714285714286,0.0,0.5560538116591929,-0.5560538116591929,0.0,3.0116432729746556,237.0,237.0
408,118398.0,0.117062788222774,0.3664664117968323,0.1091026356156742,0.25736377618115813,3.358914381204775,3.0064761640025157,129538.0,134434.0
7721,511.0,0.5283757338551859,1.0,0.5265225933202358,0.47347740667976423,1.8992537313432836,2.9537057654902186,511.0,518.0
1898,178.0,0.4438202247191011,1.0,0.4310344827586206,0.5689655172413794,2.3200000000000003,2.951443648150775,245.0,248.0
5331,332.0,0.1656626506024096,0.6666666666666666,0.1610942249240121,0.5055724417426546,4.138364779874215,2.9364367806486746,333.0,338.0
2192,535.0,0.6579439252336449,0.2,0.6666666666666666,-0.4666666666666666,0.30000000000000004,2.9325959418330405,576.0,590.0
7059,131.0,0.4045801526717557,1.0,0.4,0.6,2.5,2.9296811535518223,8021.0,9385.0
462,123.0,0.6016260162601627,0.0,0.6065573770491803,-0.6065573770491803,0.0,2.9237773430719076,831.0,834.0
6437,137.0,0.4160583941605839,1.0,0.4117647058823529,0.5882352941176471,2.428571428571429,2.898384520680709,137.0,150.0
14407,390.0,0.5230769230769231,1.0,0.5181347150259067,0.4818652849740933,1.9300000000000002,2.8761129693193737,445.0,494.0
672,306.0,0.4967320261437908,0.0,0.4983606557377049,-0.4983606557377049,0.0,2.8540355987975534,402.0,408.0
684,261.0,0.7509578544061303,0.25,0.7587548638132295,-0.5087548638132295,0.3294871794871795,2.8329223496761218,261.0,268.0
576,159.0,0.5534591194968553,0.0,0.5569620253164557,-0.5569620253164557,0.0,2.8266790869656755,312.0,324.0
1885,227.0,0.5154185022026432,0.0,0.5176991150442478,-0.5176991150442478,0.0,2.8107674273790693,240.0,240.0
1728,713.0,0.4249649368863955,0.0,0.4261603375527426,-0.4261603375527426,0.0,2.8002497012502023,922.0,971.0
1630,88260.0,0.5361092227509631,0.7716216216216216,0.527936694021102,0.24368492760051963,1.4615798264455915,2.7750970201753047,89218.0,103161.0
6522,4758.0,0.4825556956704497,0.8048780487804879,0.479754080983676,0.32512396779681185,1.6776888007501378,2.7530824069867337,4783.0,5058.0
1887,214.0,0.5046728971962616,0.0,0.5070422535211268,-0.5070422535211268,0.0,2.7231404086281104,227.0,227.0
1886,224.0,0.5,0.0,0.5022421524663677,-0.5022421524663677,0.0,2.720193923977108,237.0,237.0
2189,112.0,0.5625,0.0,0.5675675675675675,-0.5675675675675675,0.0,2.6831120052151123,149.0,151.0
1216,380.0,0.55,1.0,0.5488126649076517,0.4511873350923483,1.8221153846153848,2.681315813051889,630.0,636.0
1996,556.0,0.1798561151079136,0.6,0.176043557168784,0.423956442831216,3.4082474226804127,2.680492268687865,838.0,846.0
1198,299257.0,0.2605218925538918,0.4603301221083635,0.2490139949109414,0.2113161271974221,1.8486114496215293,2.6644980134636307,337145.0,380199.0
16441,1333.0,0.5408852213053263,0.1764705882352941,0.5455927051671733,-0.3691221169318792,0.32344748484351954,2.6561795823455774,1349.0,1378.0
2213,989.0,0.2841253791708796,0.6666666666666666,0.2829614604462475,0.38370520622041915,2.356033452807646,2.6466852976507775,1094.0,1109.0
1101,4549.0,0.2398329303143548,0.5444444444444444,0.2336846826642745,0.3107597617801699,2.3298251226274256,2.617492962914386,5183.0,5633.0
6288,123.0,0.4634146341463415,1.0,0.4590163934426229,0.5409836065573771,2.178571428571429,2.607693305983053,123.0,123.0
457,250.0,0.536,1.0,0.532258064516129,0.467741935483871,1.878787878787879,2.584486052174544,252.0,254.0
6270,114.0,0.4649122807017544,1.0,0.4601769911504424,0.5398230088495576,2.1730769230769234,2.561423538319985,114.0,114.0
1349,1261.0,0.4456780333068993,0.0909090909090909,0.4488,-0.3578909090909091,0.20256036298817046,2.555503230916422,1801.0,1846.0
1469,1816.0,0.6607929515418502,1.0,0.6598564329099945,0.3401435670900055,1.5154811715481171,2.5527577659481175,2167.0,2630.0
8759,300.0,0.0566666666666666,0.5,0.0536912751677852,0.4463087248322148,9.312500000000007,2.5471331047369143,300.0,309.0
874,62761.0,0.3676168321091123,0.5959409594095941,0.3656278628714701,0.23031309653812404,1.6299112292191102,2.5442929773221508,62805.0,76330.0
2003,441.0,0.0861678004535147,0.5,0.0842824601366742,0.4157175398633258,5.932432432432436,2.532264358722506,441.0,444.0
747,541.0,0.2680221811460259,0.6666666666666666,0.2657992565055762,0.40086741016109045,2.5081585081585085,2.5235669782722745,779.0,796.0
7855,2833.0,0.5714789975291211,0.8846153846153846,0.5685785536159601,0.3160368309994245,1.5558367071524966,2.512317222782065,2907.0,5696.0
6932,506.0,0.5988142292490118,1.0,0.598019801980198,0.401980198019802,1.6721854304635762,2.5037380865920995,640.0,650.0
11233,124.0,0.1612903225806451,0.6666666666666666,0.1487603305785124,0.5179063360881542,4.481481481481481,2.5006142771703375,124.0,133.0
7171,10558.0,0.2320515249100208,0.4817170111287758,0.2162352704199818,0.265481740708794,2.2277448549127232,2.4596176712432105,25463.0,29284.0
2721,565.0,0.2548672566371681,0.625,0.24408014571949,0.38091985428051,2.560634328358209,2.41449633261246,565.0,613.0
13948,1049.0,0.6539561487130601,1.0,0.652963671128107,0.34703632887189295,1.5314787701317716,2.414173992221816,1049.0,1103.0
635,1368.0,0.3055555555555556,0.6363636363636364,0.3028739867354458,0.33348964962819055,2.1010838310108384,2.408407499047759,1443.0,1514.0
2260,256.0,0.4296875,0.0,0.4313725490196078,-0.4313725490196078,0.0,2.3937190954449967,427.0,460.0
16597,47269.0,0.4276375637309865,0.641317365269461,0.419811837978903,0.22150552729055806,1.5276304935967278,2.384203787635564,47276.0,62215.0
1674,4080.0,0.5286764705882353,0.7880434782608695,0.5029633620689655,0.285080116191904,1.5668009594559977,2.370183834408287,5553.0,5942.0
7181,186.0,0.4462365591397849,0.0,0.4510869565217391,-0.4510869565217391,0.0,2.35968486521158,234.0,271.0
962,1835.0,0.5471389645776567,0.238095238095238,0.5507166482910695,-0.31262141019583145,0.4323370990037655,2.349457617950014,2025.0,3254.0
2905,345.0,0.1014492753623188,0.5,0.0991253644314868,0.4008746355685132,5.044117647058828,2.34368901332489,374.0,380.0
8765,308.0,0.0941558441558441,0.5,0.0915032679738562,0.4084967320261438,5.464285714285714,2.3420511752033275,313.0,321.0
2242,163.0,0.4478527607361963,0.0,0.45625,-0.45625,0.0,2.3268140576947904,163.0,164.0
2158,135.0,0.4592592592592592,0.0,0.4732824427480916,-0.4732824427480916,0.0,2.325073304699506,135.0,141.0
4165,419.0,0.116945107398568,0.5,0.1151079136690647,0.3848920863309353,4.343750000000002,2.324846237793825,419.0,424.0
369,142.0,0.4647887323943662,0.0,0.4680851063829787,-0.4680851063829787,0.0,2.3230336567174033,160.0,161.0
1613,2853.0,0.2316859446196985,0.5151515151515151,0.2283687943262411,0.286782720825274,2.2557876905702994,2.2817800643241526,2925.0,3840.0
7104,355.0,0.2816901408450704,0.6666666666666666,0.2784090909090909,0.38825757575757575,2.3945578231292517,2.280986363304292,355.0,360.0
6521,3087.0,0.5931324910916748,0.8703703703703703,0.5881965051104517,0.2821738652599186,1.4797272047832584,2.267345708799201,4461.0,4614.0
7005,188.0,0.425531914893617,0.0,0.4324324324324324,-0.4324324324324324,0.0,2.266701411917683,193.0,194.0
1361,697.0,0.3443328550932568,0.0,0.3453237410071942,-0.3453237410071942,0.0,2.261255517500675,726.0,775.0
2182,914.0,0.1739606126914661,0.5,0.171806167400881,0.328193832599119,2.910256410256411,2.2379288231851384,996.0,1189.0
7874,149.0,0.4429530201342282,0.0,0.4459459459459459,-0.4459459459459459,0.0,2.2344724960158975,361.0,366.0
