rank,feature,mean_abs_shap
1,F17,0.0852852314710617
2,E78,0.08198201656341553
3,G89,0.07870929688215256
4,Z37,0.07709114998579025
5,F11,0.05962778255343437
6,M54,0.058543022722005844
7,F41,0.03801939636468887
8,J44,0.03783034533262253
9,I48,0.03253927081823349
10,R10,0.032464735209941864
11,Z12,0.029694991186261177
12,F32,0.028932085260748863
13,I25,0.02391986921429634
14,J35,0.02263082191348076
15,M79,0.022022277116775513
16,R11,0.02157355286180973
17,I10,0.02046973444521427
18,K21,0.020227333530783653
19,K57,0.019886936992406845
20,K80,0.01947575807571411
21,N20,0.016036616638302803
22,F10,0.01508778240531683
23,K35,0.0148897934705019
24,Z86,0.014529098756611347
25,F31,0.014349682256579399
26,L03,0.013933970592916012
27,E66,0.013438628055155277
28,Z66,0.01277238316833973
29,Z85,0.012139027006924152
30,K64,0.011933502741158009
31,F03,0.011718329973518848
32,Z82,0.011462057940661907
33,B19,0.011354753747582436
34,Z79,0.010822941549122334
35,O99,0.010695324279367924
36,Z01,0.010480496101081371
37,N40,0.010274231433868408
38,Z3A,0.009829718619585037
39,D62,0.009230371564626694
40,B18,0.009206687100231647
41,Z30,0.00842139683663845
42,Z68,0.0083509786054492
43,O70,0.008293326012790203
44,R06,0.008259163238108158
45,Z95,0.00825458113104105
46,R94,0.008134754374623299
47,E03,0.00811875518411398
48,S42,0.008079576306045055
49,F55,0.008045016787946224
50,J45,0.007969238795340061
51,C50,0.007962393574416637
52,R07,0.007942868396639824
53,S83,0.00780701357871294
54,N92,0.007707018870860338
55,E13,0.007050065789371729
56,Z91,0.006982311140745878
57,D57,0.006801178678870201
58,I65,0.006610095966607332
59,S52,0.006596566177904606
60,Z80,0.006290245335549116
61,K63,0.006235053297132254
62,I70,0.006116032600402832
63,F19,0.006097052246332169
64,O09,0.005997030530124903
65,R45,0.005932793021202087
66,D25,0.005918652750551701
67,Y92,0.005871150642633438
68,K08,0.005866952706128359
69,N13,0.005588861182332039
70,Z53,0.005435670260339975
71,N83,0.005413513630628586
72,Z76,0.005413395818322897
73,I49,0.0051754070445895195
74,H26,0.005138956476002932
75,I12,0.0050414251163601875
76,N84,0.005026625003665686
77,Z51,0.00489878049120307
78,I44,0.004857842810451984
79,K40,0.004787685349583626
80,Y99,0.004742549732327461
81,O80,0.004716950468719006
82,M25,0.0047068726271390915
83,H65,0.004658679943531752
84,H25,0.004640948958694935
85,R50,0.004631060175597668
